,site,NAAMP,file_name,folder_date,Lcapito,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140424_004200.wav,W40,2,20140424_004200,4-21-14,False,66.04898783577808,2014,3a,85.5,2014-04-24 00:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140423_234200.wav,W40,1,20140423_234200,4-21-14,False,53.52044844848524,2014,3a,80.0,2014-04-23 23:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140423_224200.wav,W40,2,20140423_224200,4-21-14,False,129.39959733128163,2014,3a,215.0,2014-04-23 22:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140423_214200.wav,W40,2,20140423_214200,4-21-14,False,57.77872591269122,2014,3a,163.0,2014-04-23 21:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140423_204200.wav,W40,2,20140423_204200,4-21-14,False,58.828344799812974,2014,3a,149.5,2014-04-23 20:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140423_194200.wav,W40,2,20140423_194200,4-21-14,False,74.08925279247875,2014,3a,216.5,2014-04-23 19:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140423_004100.wav,W40,2,20140423_004100,4-21-14,False,60.34877885034663,2014,3a,85.0,2014-04-23 00:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_234100.wav,W40,2,20140422_234100,4-21-14,False,62.39196705623602,2014,3a,166.0,2014-04-22 23:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_224100.wav,W40,2,20140422_224100,4-21-14,False,79.00016725932933,2014,3a,67.5,2014-04-22 22:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_214100.wav,W40,2,20140422_214100,4-21-14,False,145.76176772695194,2014,3a,298.0,2014-04-22 21:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_204100.wav,W40,2,20140422_204100,4-21-14,False,49.55685805410287,2014,3a,147.0,2014-04-22 20:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_194100.wav,W40,2,20140422_194100,4-21-14,False,72.37948038055517,2014,3a,131.0,2014-04-22 19:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_004000.wav,W40,2,20140422_004000,4-21-14,False,63.29587064398476,2014,3a,225.0,2014-04-22 00:40:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_234000.wav,W40,2,20140421_234000,4-21-14,False,68.26832193967063,2014,3a,121.0,2014-04-21 23:40:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_224000.wav,W40,2,20140421_224000,4-21-14,False,102.87727571884132,2014,3a,107.5,2014-04-21 22:40:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_214000.wav,W40,2,20140421_214000,4-21-14,False,74.63076615773207,2014,3a,56.0,2014-04-21 21:40:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_204000.wav,W40,2,20140421_204000,4-21-14,False,55.69739091971209,2014,3a,18.0,2014-04-21 20:40:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140421_194000.wav,W40,2,20140421_194000,4-21-14,False,67.78649676655701,2014,3a,209.5,2014-04-21 19:40:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140418_003800.wav,W15,2,20140418_003800,4-14-14,False,46.332372795276704,2014,3a,159.5,2014-04-18 00:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140417_233800.wav,W15,2,20140417_233800,4-14-14,False,41.15138250973021,2014,3a,103.0,2014-04-17 23:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140417_223800.wav,W15,2,20140417_223800,4-14-14,False,61.76591351211615,2014,3a,102.0,2014-04-17 22:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140417_213800.wav,W15,2,20140417_213800,4-14-14,False,51.32367491417079,2014,3a,94.0,2014-04-17 21:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140417_203800.wav,W15,2,20140417_203800,4-14-14,False,43.07788990699543,2014,3a,7.0,2014-04-17 20:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140417_193800.wav,W15,2,20140417_193800,4-14-14,False,46.796567926879895,2014,3a,35.0,2014-04-17 19:38:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140417_003700.wav,W15,2,20140417_003700,4-14-14,False,53.55889173618756,2014,3a,159.5,2014-04-17 00:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140416_233700.wav,W15,2,20140416_233700,4-14-14,False,58.48586879193901,2014,3a,73.0,2014-04-16 23:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140416_223700.wav,W15,2,20140416_223700,4-14-14,False,61.92628719027155,2014,3a,278.5,2014-04-16 22:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140416_213700.wav,W15,2,20140416_213700,4-14-14,False,38.76010251269395,2014,3a,48.5,2014-04-16 21:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140416_203700.wav,W15,2,20140416_203700,4-14-14,False,33.541895848177894,2014,3a,293.0,2014-04-16 20:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140416_193700.wav,W15,2,20140416_193700,4-14-14,False,33.64445817827123,2014,3a,15.5,2014-04-16 19:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140416_003600.wav,W15,2,20140416_003600,4-14-14,False,51.78457752577753,2014,3a,135.5,2014-04-16 00:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140415_233600.wav,W15,2,20140415_233600,4-14-14,False,47.08001314807315,2014,3a,107.0,2014-04-15 23:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140415_223600.wav,W15,2,20140415_223600,4-14-14,False,36.351735955822974,2014,3a,71.0,2014-04-15 22:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140415_213600.wav,W15,2,20140415_213600,4-14-14,False,48.8380226076065,2014,3a,299.0,2014-04-15 21:36:00
