,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/4-30-15/20150502_204800.wav,60.37391803359517,2015,9a,272.5,2015-05-02 20:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-2-15/20150203_004400.wav,60.27278674148604,2015,10a,74.5,2015-02-03 00:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-4-15/20150605_230900.wav,60.24630970023813,2015,6a,130.5,2015-06-05 23:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/5-8-15/20150508_205200.wav,60.20736504324573,2015,9a,191.0,2015-05-08 20:52:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/2-2-15/20150205_184700.wav,60.16806573438812,2015,7a,33.0,2015-02-05 18:47:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-23-15/20150224_190200.wav,60.15239736310679,2015,10a,127.0,2015-02-24 19:02:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-11-15/20150613_221300.wav,60.14224467968712,2015,6a,38.0,2015-06-13 22:13:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/4-30-15/20150502_204800.wav,60.06799040656336,2015,10a,59.0,2015-05-02 20:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150202_184400.wav,60.04066353410207,2015,6a,26.5,2015-02-02 18:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150226_230400.wav,60.0151551959646,2015,6a,44.0,2015-02-26 23:04:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-23-15/20150227_000400.wav,59.64936800030306,2015,10a,24.0,2015-02-27 00:04:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/5-14-15/20150515_005600.wav,59.51276087994389,2015,8a,27.5,2015-05-15 00:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-23-15/20150225_200300.wav,59.45816750726408,2015,6a,259.0,2015-02-25 20:03:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/4-30-15/20150504_204900.wav,59.44281173276105,2015,8a,176.5,2015-05-04 20:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150305_210900.wav,59.40677447871671,2015,6a,9.0,2015-03-05 21:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/6-25-15/20150626_211600.wav,59.17216001901427,2015,9a,103.5,2015-06-26 21:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150314_211500.wav,59.04271803497122,2015,10a,128.5,2015-03-14 21:15:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-19-15/20150319_191900.wav,59.0352598258812,2015,9a,122.0,2015-03-19 19:19:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-12-15/20150314_001400.wav,58.748455790959554,2015,6a,71.5,2015-03-14 00:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-19-15/20150320_201900.wav,58.72895008172173,2015,9a,115.0,2015-03-20 20:19:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-12-15/20150313_191400.wav,58.69076536019939,2015,8a,289.0,2015-03-13 19:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/6-25-15/20150627_221600.wav,58.44164224968969,2015,10a,20.5,2015-06-27 22:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150312_231400.wav,58.4260629141363,2015,10a,296.0,2015-03-12 23:14:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150315_201600.wav,58.07362559616796,2015,10a,86.0,2015-03-15 20:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150202_214400.wav,58.01436693516184,2015,6a,219.0,2015-02-02 21:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/6-11-15/20150615_001300.wav,57.8751086805157,2015,8a,231.5,2015-06-15 00:13:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/2-16-15/20150216_205600.wav,57.83414523894317,2015,7a,269.0,2015-02-16 20:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-5-15/20150305_200900.wav,57.58940542279479,2015,8a,259.5,2015-03-05 20:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150218_215700.wav,57.38460800967304,2015,6a,108.5,2015-02-18 21:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/5-8-15/20150509_225200.wav,57.37238419917758,2015,7a,85.0,2015-05-09 22:52:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-4-15/20150606_221000.wav,57.33014399914967,2015,6a,98.0,2015-06-06 22:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150321_192000.wav,57.29841722115915,2015,8a,32.5,2015-03-21 19:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/6-11-15/20150612_231200.wav,57.24280594955246,2015,10a,290.5,2015-06-12 23:12:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/4-30-15/20150430_224600.wav,57.18781041987603,2015,7a,144.5,2015-04-30 22:46:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/2-2-15/20150202_184400.wav,57.15820004388824,2015,7a,119.5,2015-02-02 18:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-2-15/20150204_004500.wav,57.135294257028136,2015,6a,129.0,2015-02-04 00:45:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150321_222000.wav,56.97083906339418,2015,8a,161.5,2015-03-21 22:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150306_000900.wav,56.88392018049552,2015,6a,86.0,2015-03-06 00:09:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-5-15/20150306_211000.wav,56.85565519276177,2015,9a,19.5,2015-03-06 21:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/2-16-15/20150216_185600.wav,56.846607314765976,2015,7a,29.0,2015-02-16 18:56:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-12-15/20150315_211600.wav,56.78662570794155,2015,9a,211.5,2015-03-15 21:16:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150218_225700.wav,56.77047311838472,2015,6a,194.0,2015-02-18 22:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/4-30-15/20150504_204900.wav,56.66333195799967,2015,10a,23.0,2015-05-04 20:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/4-16-15/20150416_203700.wav,56.64857461897514,2015,10a,255.0,2015-04-16 20:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-12-15/20150314_231500.wav,56.63910425077279,2015,10a,192.5,2015-03-14 23:15:00
