,file_name,Lcapito,call_time,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_024300.wav,TEST_0+1_20180313_024300.wav,0.0,,32.99465637725804,2018,400,220.5,2018-03-13 02:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_184300.wav,TEST_0+1_20180313_184300.wav,0.0,,40.31647598021068,2018,400,103.5,2018-03-13 18:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_194300.wav,TEST_0+1_20180313_194300.wav,0.0,,46.43363980160386,2018,400,290.0,2018-03-13 19:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_204300.wav,TEST_0+1_20180313_204300.wav,0.0,,35.88666243312433,2018,400,151.0,2018-03-13 20:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_214300.wav,TEST_0+1_20180313_214300.wav,0.0,,40.747232431872376,2018,400,79.5,2018-03-13 21:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_224300.wav,TEST_0+1_20180313_224300.wav,0.0,,37.55849638523247,2018,400,151.5,2018-03-13 22:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_234300.wav,TEST_0+1_20180313_234300.wav,0.0,,32.429498360978975,2018,400,149.0,2018-03-13 23:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180314_004300.wav,TEST_0+1_20180314_004300.wav,0.0,,40.244432624700536,2018,400,95.5,2018-03-14 00:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180314_014300.wav,TEST_0+1_20180314_014300.wav,0.0,,37.64457503184999,2018,400,283.0,2018-03-14 01:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180314_024300.wav,TEST_0+1_20180314_024300.wav,0.0,,31.62545638873065,2018,400,182.0,2018-03-14 02:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180314_184400.wav,TEST_0+1_20180314_184400.wav,0.0,,41.42924496172212,2018,400,23.5,2018-03-14 18:44:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_003700.wav,TEST_0+1_20190306_003700.wav,0.0,,49.22519499165612,2019,400,95.5,2019-03-06 00:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190306_013700.wav,TEST_0+1_20190306_013700.wav,0.0,,34.57454304099807,2019,400,264.5,2019-03-06 01:37:00
